05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:43:16.212,9132,RECV,414142370D0A
05-14-2021 20:43:17.217,9133,RECV,414142370D0A
05-14-2021 20:43:18.221,9134,RECV,414142370D0A
05-14-2021 20:43:19.224,9135,RECV,414142370D0A
05-14-2021 20:43:20.225,9136,RECV,414142370D0A
05-14-2021 20:43:21.227,9137,RECV,414142370D0A
05-14-2021 20:43:22.228,9138,RECV,414142370D0A
05-14-2021 20:43:23.225,9139,RECV,414142370D0A
05-14-2021 20:43:24.225,9140,RECV,414142370D0A
05-14-2021 20:43:25.234,9141,RECV,414142370D0A
05-14-2021 20:43:26.235,9142,RECV,414142370D0A
05-14-2021 20:43:27.234,9143,RECV,414142370D0A
05-14-2021 20:43:28.236,9144,RECV,414142370D0A
05-14-2021 20:43:29.241,9145,RECV,414142370D0A
05-14-2021 20:43:30.241,9146,RECV,414142370D0A
05-14-2021 20:43:31.241,9147,RECV,414142370D0A
05-14-2021 20:43:32.241,9148,RECV,414142370D0A
05-14-2021 20:43:33.244,9149,RECV,414142370D0A
05-14-2021 20:43:34.243,9150,RECV,414142370D0A
05-14-2021 20:43:35.250,9151,RECV,414142370D0A
05-14-2021 20:43:36.247,9152,RECV,414142370D0A
05-14-2021 20:43:37.247,9153,RECV,414142370D0A
05-14-2021 20:43:38.250,9154,RECV,414142370D0A
05-14-2021 20:43:39.249,9155,RECV,414142370D0A
05-14-2021 20:43:40.253,9156,RECV,414142370D0A
05-14-2021 20:43:41.255,9157,RECV,414142370D0A
05-14-2021 20:43:42.253,9158,RECV,414142370D0A
05-14-2021 20:43:43.253,9159,RECV,414142370D0A
05-14-2021 20:43:44.256,9160,RECV,414142370D0A
05-14-2021 20:43:45.260,9161,RECV,414142370D0A
05-14-2021 20:43:46.266,9162,RECV,414142370D0A
05-14-2021 20:43:47.204,9163,RECV,414142370D0A
05-14-2021 20:43:48.205,9164,RECV,414142370D0A
05-14-2021 20:43:49.207,9165,RECV,414142370D0A
05-14-2021 20:43:50.266,9166,RECV,414142370D0A
05-14-2021 20:43:51.266,9167,RECV,414142370D0A
05-14-2021 20:43:52.208,9168,RECV,414142370D0A
05-14-2021 20:43:53.211,9169,RECV,414142370D0A
05-14-2021 20:43:54.215,9170,RECV,414142370D0A
05-14-2021 20:43:55.224,9171,RECV,414142370D0A
05-14-2021 20:43:56.228,9172,RECV,414142370D0A
05-14-2021 20:43:57.234,9173,RECV,414142370D0A
05-14-2021 20:43:58.240,9174,RECV,414142370D0A
05-14-2021 20:43:59.243,9175,RECV,414142370D0A
05-14-2021 20:44:00.244,9176,RECV,414142370D0A
05-14-2021 20:44:01.248,9177,RECV,414142370D0A
05-14-2021 20:44:02.247,9178,RECV,414142370D0A
05-14-2021 20:44:03.248,9179,RECV,414142370D0A
05-14-2021 20:44:04.252,9180,RECV,414142370D0A
05-14-2021 20:44:05.255,9181,RECV,414142370D0A
05-14-2021 20:44:06.258,9182,RECV,414142370D0A
05-14-2021 20:44:07.257,9183,RECV,414142370D0A
05-14-2021 20:44:08.258,9184,RECV,414142370D0A
05-14-2021 20:44:09.259,9185,RECV,414142370D0A
05-14-2021 20:44:10.255,9186,RECV,414142370D0A
05-14-2021 20:44:11.254,9187,RECV,414142370D0A
05-14-2021 20:44:12.253,9188,RECV,414142370D0A
05-14-2021 20:44:13.256,9189,RECV,414142370D0A
05-14-2021 20:44:14.262,9190,RECV,414142370D0A
05-14-2021 20:44:15.270,9191,RECV,414142370D0A
05-14-2021 20:44:16.273,9192,RECV,414142370D0A
05-14-2021 20:44:17.277,9193,RECV,414142370D0A
05-14-2021 20:44:18.284,9194,RECV,414142370D0A
05-14-2021 20:44:19.282,9195,RECV,414142370D0A
05-14-2021 20:44:20.282,9196,RECV,414142370D0A
05-14-2021 20:44:21.287,9197,RECV,414142370D0A
05-14-2021 20:44:22.288,9198,RECV,414142370D0A
05-14-2021 20:44:23.289,9199,RECV,414142370D0A
05-14-2021 20:44:24.292,9200,RECV,414142370D0A
05-14-2021 20:44:25.299,9201,RECV,414142370D0A
05-14-2021 20:44:26.238,9202,RECV,414142370D0A
05-14-2021 20:44:27.240,9203,RECV,414142
05-14-2021 20:44:27.302,9204,RECV,370D0A
05-14-2021 20:44:28.244,9205,RECV,414142370D0A
05-14-2021 20:44:29.246,9206,RECV,414142370D0A
05-14-2021 20:44:30.248,9207,RECV,414142370D0A
05-14-2021 20:44:31.253,9208,RECV,414142370D0A
05-14-2021 20:44:32.260,9209,RECV,414142370D0A
05-14-2021 20:44:33.259,9210,RECV,414142370D0A
05-14-2021 20:44:34.260,9211,RECV,414142370D0A
05-14-2021 20:44:35.267,9212,RECV,414142370D0A
05-14-2021 20:44:36.270,9213,RECV,414142370D0A
05-14-2021 20:44:37.272,9214,RECV,414142370D0A
05-14-2021 20:44:38.276,9215,RECV,414142370D0A
05-14-2021 20:44:39.274,9216,RECV,414142370D0A
05-14-2021 20:44:40.279,9217,RECV,414142370D0A
05-14-2021 20:44:41.284,9218,RECV,414142370D0A
05-14-2021 20:44:42.283,9219,RECV,414142370D0A
05-14-2021 20:44:43.285,9220,RECV,414142370D0A
05-14-2021 20:44:44.286,9221,RECV,414142370D0A
05-14-2021 20:44:45.290,9222,RECV,414142370D0A
05-14-2021 20:44:46.299,9223,RECV,414142370D0A
05-14-2021 20:44:47.302,9224,RECV,414142370D0A
05-14-2021 20:44:48.306,9225,RECV,414142370D0A
05-14-2021 20:44:49.309,9226,RECV,414142370D0A
05-14-2021 20:44:50.306,9227,RECV,414142370D0A
05-14-2021 20:44:51.307,9228,RECV,414142370D0A
05-14-2021 20:44:52.305,9229,RECV,414142370D0A
05-14-2021 20:44:53.300,9230,RECV,414142370D0A
05-14-2021 20:44:54.298,9231,RECV,414142370D0A
05-14-2021 20:44:55.294,9232,RECV,414142370D0A
05-14-2021 20:44:56.306,9233,RECV,414142370D0A
05-14-2021 20:44:57.308,9234,RECV,414142370D0A
05-14-2021 20:44:58.307,9235,RECV,414142370D0A
05-14-2021 20:44:59.309,9236,RECV,414142370D0A
05-14-2021 20:45:00.306,9237,RECV,414142370D0A
05-14-2021 20:45:01.304,9238,RECV,414142370D0A
05-14-2021 20:45:02.306,9239,RECV,414142370D0A
05-14-2021 20:45:03.304,9240,RECV,414142370D0A
05-14-2021 20:45:04.304,9241,RECV,414142370D0A
05-14-2021 20:45:05.293,9242,RECV,414142370D0A
05-14-2021 20:45:06.296,9243,RECV,414142370D0A
05-14-2021 20:45:07.287,9244,RECV,414142370D0A
05-14-2021 20:45:08.287,9245,RECV,414142370D0A
05-14-2021 20:45:09.284,9246,RECV,414142370D0A
05-14-2021 20:45:10.286,9247,RECV,414142370D0A
05-14-2021 20:45:11.284,9248,RECV,414142370D0A
05-14-2021 20:45:12.281,9249,RECV,414142370D0A
05-14-2021 20:45:13.280,9250,RECV,414142370D0A
05-14-2021 20:45:14.289,9251,RECV,414142370D0A
05-14-2021 20:45:15.292,9252,RECV,414142370D0A
05-14-2021 20:45:16.295,9253,RECV,414142370D0A
05-14-2021 20:45:17.297,9254,RECV,414142370D0A
05-14-2021 20:45:18.292,9255,RECV,414142370D0A
05-14-2021 20:45:19.292,9256,RECV,414142370D0A
05-14-2021 20:45:20.290,9257,RECV,414142370D0A
05-14-2021 20:45:21.290,9258,RECV,414142370D0A
